广东频道,#genre#
广东珠江,http://168.138.160.251:50001/2000000003000000033/hnbblive/index.m3u8
广东卫视,http://168.138.160.251:50001/1000000001000028357/ystenlive/index.m3u8
大湾区卫视,http://168.138.160.251:50001/1000000002000011619/ystenlive/index.m3u8
大湾区卫视,http://168.138.160.251:50001/2000000003000000045/hnbblive/index.m3u8
深圳卫视,http://168.138.160.251:50001/1000000001000011645/ystenlive/index.m3u8
广东珠江,http://148.135.77.94:50001/2000000003000000033/hnbblive/index.m3u8
广东卫视,http://148.135.77.94:50001/1000000001000028357/ystenlive/index.m3u8
大湾区卫视,http://148.135.77.94:50001/1000000002000011619/ystenlive/index.m3u8
大湾区卫视,http://148.135.77.94:50001/2000000003000000045/hnbblive/index.m3u8
深圳卫视,http://148.135.77.94:50001/1000000001000011645/ystenlive/index.m3u8
广东珠江,http://xiaoge.myds.me:9900//TVOD/1000000004000011655/ystenlive/index.m3u8
广东珠江,http://xiaoge.myds.me:9900//TVOD/2000000003000000033/hnbblive/index.m3u8

大湾区卫视,http://xiaoge.myds.me:9900//TVOD/1000000002000011619/ystenlive/index.m3u8
大湾区卫视,http://xiaoge.myds.me:9900//TVOD/2000000003000000045/hnbblive/index.m3u8

广东卫视,http://xiaoge.myds.me:9900//TVOD/5000000004000014694/bestzb/index.m3u8
广东卫视,http://xiaoge.myds.me:9900//TVOD/5000000010000030417/bestzb/index.m3u8
广东卫视,http://xiaoge.myds.me:9900//TVOD/6000000001000031076/wasusyt/index.m3u8
广东卫视,http://xiaoge.myds.me:9900//TVOD/1000000001000014176/ystenlive/index.m3u8
广东卫视,http://xiaoge.myds.me:9900//TVOD/1000000001000028357/ystenlive/index.m3u8
广东卫视,http://xiaoge.myds.me:9900//TVOD/1000000005000265034/ystenlive/index.m3u8
广东卫视,http://xiaoge.myds.me:9900//TVOD/6604532991586541024/ystenlive/index.m3u8

深圳卫视,http://xiaoge.myds.me:9900//TVOD/5000000004000007410/bestzb/index.m3u8
深圳卫视,http://xiaoge.myds.me:9900//TVOD/5000000010000024026/bestzb/index.m3u8
深圳卫视,http://xiaoge.myds.me:9900//TVOD/6000000001000002116/wasusyt/index.m3u8
深圳卫视,http://xiaoge.myds.me:9900//TVOD/1000000001000009227/ystenlive/index.m3u8
深圳卫视,http://xiaoge.myds.me:9900//TVOD/1000000001000011645/ystenlive/index.m3u8
深圳卫视,http://xiaoge.myds.me:9900//TVOD/1000000005000265028/ystenlive/index.m3u8
深圳卫视,http://xiaoge.myds.me:9900//TVOD/5352218613763113657/ystenlive/index.m3u8
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
广东体育,https://cdn2.163189.xyz/live/gdty/stream.m3u8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=aae0358e06f64d4db4d663321a3fa964&txTime=190def4db74
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=5d7708684007fcea395caff98369084c&txTime=19019c37743
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701
广州综合,http://php.jdshipin.com/TVOD/iptv.php?id=gzzh
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=88ad17e0518f41980b392744d8ecbfc7&txTime=190def6e358
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=cbfba109d1fef4ef29e93a1c6bba208e&txTime=19019e62015
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=d3dad1fd1a965ff59d3db3990b923267&txTime=18ee6e4efc1
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=c651b79c107d9cde3914d011cbb896a6&txTime=190def3c97d
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=f80e5b7654c57c7571a314d94befe320&txTime=19019c051d5
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=491c40d07978ba7046704a7844042ff6&txTime=19019f3714e
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=c180b67d43e34b97c970524c05ef3b4e&txTime=18ee6e4efc1
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=4400d75d2114b2db07d86eda8f8218ee&txTime=191b60ce0f6
广州都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=59b2d3f371597c07d47815034a0e6e78&txTime=19019c65629
深圳卫视,http://111.29.9.33:6410/200000001898/460000089800010068/1.m3u8?
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞新闻综合,http://8.137.59.151:3000/guangdong/dongguang.php?id=xwzh
东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx
