cctvi6,#genre#
[BD]cctv1,https://stream1.freetv.fun/ipv6-cctv1-47.m3u8
BD]cctv-1,https://stream1.freetv.fun/ipv6-cctv-1-3.m3u8
[BD]cctv1,https://stream1.freetv.fun/ipv6-cctv1-62.m3u8
[BD]cctv1,https://stream1.freetv.fun/ipv6-cctv1-50.m3u8
[BD]cctv-2,https://stream1.freetv.fun/ipv6-cctv-2-24.m3u8
[BD]cctv10,https://stream1.freetv.fun/ipv6-cctv10-39.m3u8
[BD]cctv10,https://stream1.freetv.fun/ipv6-cctv10-60.m3u8
[BD]cctv10,https://stream1.freetv.fun/ipv6-cctv10-56.m3u8
[BD]cctv11,https://stream1.freetv.fun/ipv6-cctv11-47.m3u8
[BD]cctv11,https://stream1.freetv.fun/ipv6-cctv11-12.m3u8
[BD]cctv-11,https://stream1.freetv.fun/ipv6-cctv-11-1.m3u8
[BD]cctv12,https://stream1.freetv.fun/ipv6-cctv12-32.m3u8
[BD]cctv12,https://stream1.freetv.fun/ipv6-cctv12-72.m3u8
[BD]cctv-12,https://stream1.freetv.fun/ipv6-cctv-12-4.m3u8
[BD]cctv12,https://stream1.freetv.fun/ipv6-cctv12-77.m3u8
[BD]cctv-13,https://stream1.freetv.fun/ipv6-cctv-13-13.m3u8
[BD]cctv13,https://stream1.freetv.fun/ipv6-cctv13-72.m3u8
[BD]cctv14,https://stream1.freetv.fun/ipv6-cctv14-58.m3u8
[BD]cctv14,https://stream1.freetv.fun/ipv6-cctv14-42.m3u8
[BD]cctv-14,https://stream1.freetv.fun/ipv6-cctv-14-2.m3u8
[BD]cctv15,https://stream1.freetv.fun/ipv6-cctv15-14.m3u8
[BD]cctv-15,https://stream1.freetv.fun/ipv6-cctv-15-14.m3u8
[BD]cctv-16,https://stream1.freetv.fun/ipv6-cctv-16-3.m3u8
[BD]cctv16,https://stream1.freetv.fun/ipv6-cctv16-10.m3u8
[BD]cctv2,https://stream1.freetv.fun/ipv6-cctv2-34.m3u8
[BD]cctv3,https://stream1.freetv.fun/ipv6-cctv3-68.m3u8
[BD]cctv3,https://stream1.freetv.fun/ipv6-cctv3-5.m3u8
[BD]cctv4,https://stream1.freetv.fun/ipv6-cctv4-26.m3u8
[BD]cctv-4,https://stream1.freetv.fun/ipv6-cctv-4-17.m3u8
[BD]cctv5,https://stream1.freetv.fun/ipv6-cctv5-83.m3u8
[BD]cctv-5,https://stream1.freetv.fun/ipv6-cctv-5-6.m3u8
